department_name,school,harvard_equivalent,PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PROJECT TITLE,NIH DEPT COMBINING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE
PHARMACOLOGY,Minnesota,BCMP,5R01AI089728-07,RPGs - Non SBIR/STTR,9291416,"LI, FANG",Receptor recognition and cell entry of coronaviruses,PHARMACOLOGY,SCHOOLS OF MEDICINE,338184,115253,453437,5,MINNEAPOLIS,MINNESOTA,Y,"MINNEAPOLIS, MINNESOTA 55455-2070",Domestic Higher Education,15.05.17
PHARMACOLOGY,Minnesota,BCMP,5R01DA001583-39,RPGs - Non SBIR/STTR,9230831,"LOH, HORACE",Structural and Functions Studies of Mu Opiate Receptors: Regulation of its Gene,PHARMACOLOGY,SCHOOLS OF MEDICINE,225000,117000,342000,5,MINNEAPOLIS,MINNESOTA,Y,"MINNEAPOLIS, MINNESOTA 55455-2070",Domestic Higher Education,17.02.17
PHARMACOLOGY,Minnesota,BCMP,5R01GM088790-12,RPGs - Non SBIR/STTR,9244031,"MARCHANT, JONATHAN S",Functional architecture of intracellular Ca2+ signals,PHARMACOLOGY,SCHOOLS OF MEDICINE,217200,106112,323312,5,MINNEAPOLIS,MINNESOTA,Y,"MINNEAPOLIS, MINNESOTA 55455-2070",Domestic Higher Education,30.03.17
PHARMACOLOGY,Minnesota,BCMP,1R21AI130642-01,RPGs - Non SBIR/STTR,9297898,"MARCHANT, JONATHAN S",A pharmacological screen for inactivating antagonists at an essential parasite G protein coupled receptor,PHARMACOLOGY,SCHOOLS OF MEDICINE,125000,65625,190625,5,MINNEAPOLIS,MINNESOTA,Y,"MINNEAPOLIS, MINNESOTA 55455-2070",Domestic Higher Education,11.01.17
PHARMACOLOGY,Minnesota,BCMP,5T32GM113846-08,Training - Institutional,9319774,"MARCHANT, JONATHAN S",Stem Cell Biology Training Program,PHARMACOLOGY,SCHOOLS OF MEDICINE,177376,9070,52386,5,MINNEAPOLIS,MINNESOTA,Y,"MINNEAPOLIS, MINNESOTA 55455-2070",Domestic Higher Education,24.07.17
PHARMACOLOGY,Minnesota,BCMP,5R21AI125821-02,RPGs - Non SBIR/STTR,9305044,"MARCHANT, JONATHAN S",(Re)generating new drug leads for schistosomiasis,PHARMACOLOGY,SCHOOLS OF MEDICINE,143556,46581,190137,5,MINNEAPOLIS,MINNESOTA,Y,"MINNEAPOLIS, MINNESOTA 55455-2070",Domestic Higher Education,15.06.17
PHARMACOLOGY,Minnesota,BCMP,1F31CA213982-01A1,Training - Individual,9397922,"NJATCHA, CHRISTIAN NZINKEU",Developing a Novel STAT3 Inhibitor for Non-Small Cell Lung Cancer Therapy,PHARMACOLOGY,SCHOOLS OF MEDICINE,38444,NA,38444,5,MINNEAPOLIS,MINNESOTA,Y,"MINNEAPOLIS, MINNESOTA 55455-2070",Domestic Higher Education,31.07.17
PHARMACOLOGY,Minnesota,BCMP,1F32GM120817-01A1,Training - Individual,9326554,"RUFF, EMILY FRANCES",Novel Kinase Allostery FRET Assays for Mechanistic Studies and Drug Design,PHARMACOLOGY,SCHOOLS OF MEDICINE,57066,NA,57066,5,MINNEAPOLIS,MINNESOTA,Y,"MINNEAPOLIS, MINNESOTA 55455-2070",Domestic Higher Education,29.03.17
PHARMACOLOGY,Minnesota,BCMP,1R21DA044809-01,RPGs - Non SBIR/STTR,9408151,"THAYER, STANLEY A",Synapse loss induced by HIV-1 proteins in the presence of ART and drugs of abuse,PHARMACOLOGY,SCHOOLS OF MEDICINE,150000,79375,229375,5,MINNEAPOLIS,MINNESOTA,Y,"MINNEAPOLIS, MINNESOTA 55455-2070",Domestic Higher Education,15.05.17
PHARMACOLOGY,Minnesota,BCMP,5R01DA007304-26,RPGs - Non SBIR/STTR,9267946,"THAYER, STANLEY A",HIV-1 Neurotoxicity: Mechanism & Modulation by Cannabinoids,PHARMACOLOGY,SCHOOLS OF MEDICINE,250000,130000,380000,5,MINNEAPOLIS,MINNESOTA,Y,"MINNEAPOLIS, MINNESOTA 55455-2070",Domestic Higher Education,31.05.17
PHARMACOLOGY,Minnesota,BCMP,5R33NS087274-04,RPGs - Non SBIR/STTR,9228409,"THAYER, STANLEY A",Scalable assay for drugs to reverse synapse loss during HIV-1 neurotoxicity,PHARMACOLOGY,SCHOOLS OF MEDICINE,417232,219394,636626,5,MINNEAPOLIS,MINNESOTA,Y,"MINNEAPOLIS, MINNESOTA 55455-2070",Domestic Higher Education,20.01.17
PHARMACOLOGY,Minnesota,BCMP,1K01AA025978-01,Other Research-Related,9370487,"TIPPS, MEGAN E",Mechanisms and relevance of the ethanol-induced suppression of inhibitory signaling in the basolateral amygdala,PHARMACOLOGY,SCHOOLS OF MEDICINE,114996,7840,122836,5,MINNEAPOLIS,MINNESOTA,Y,"MINNEAPOLIS, MINNESOTA 55455-2070",Domestic Higher Education,20.07.17
PHARMACOLOGY,Minnesota,BCMP,5R01DK060521-15,RPGs - Non SBIR/STTR,9301517,"WEI, LI-NA","Studies of nuclear receptor corepressor, NRIP1, in vitamin A signaling pathways",PHARMACOLOGY,SCHOOLS OF MEDICINE,217500,105901,323401,5,MINNEAPOLIS,MINNESOTA,Y,"MINNEAPOLIS, MINNESOTA 55455-2070",Domestic Higher Education,15.06.17
PHARMACOLOGY,Minnesota,BCMP,2R01DK054733-15A1,RPGs - Non SBIR/STTR,9382382,"WEI, LI-NA",TR2 nuclear receptor in vitamin A signaling,PHARMACOLOGY,SCHOOLS OF MEDICINE,281966,147949,429915,5,MINNEAPOLIS,MINNESOTA,Y,"MINNEAPOLIS, MINNESOTA 55455-2070",Domestic Higher Education,27.06.17
PHARMACOLOGY,Minnesota,BCMP,5R01HL105550-07,RPGs - Non SBIR/STTR,9301619,"WICKMAN, KEVIN D",The role of RGS proteins in the parasympathetic control of heart rate,PHARMACOLOGY,SCHOOLS OF MEDICINE,362633,66787,429420,5,MINNEAPOLIS,MINNESOTA,Y,"MINNEAPOLIS, MINNESOTA 55455-2070",Domestic Higher Education,22.06.17
PHARMACOLOGY,Minnesota,BCMP,5R01DA034696-05,RPGs - Non SBIR/STTR,9267952,"WICKMAN, KEVIN D",Relevance and plasticity of inhibitory metabotropic signaling in reward circuits,PHARMACOLOGY,SCHOOLS OF MEDICINE,225000,109781,334781,5,MINNEAPOLIS,MINNESOTA,Y,"MINNEAPOLIS, MINNESOTA 55455-2070",Domestic Higher Education,07.04.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,5R01GM109896-04,RPGs - Non SBIR/STTR,9229044,"ANDREWS, PHILIP C",Exploration of Molecular Chaperone Complexes During Active Protein Triage,BIOCHEMISTRY,SCHOOLS OF MEDICINE,179891,81043,260934,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,13.02.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,2R01HL058984-18,RPGs - Non SBIR/STTR,9339793,"BANERJEE, RUMA V",Regulation of H2S Biogenesis,BIOCHEMISTRY,SCHOOLS OF MEDICINE,250000,137500,387500,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,30.05.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,5R01GM112455-04,RPGs - Non SBIR/STTR,9313289,"BANERJEE, RUMA V",Enzymology of Sulfide Oxidation,BIOCHEMISTRY,SCHOOLS OF MEDICINE,192500,100948,293448,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,19.07.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,5R01DK045776-26,RPGs - Non SBIR/STTR,9211299,"BANERJEE, RUMA V",B12 Trafficking and Birth Defects,BIOCHEMISTRY,SCHOOLS OF MEDICINE,250000,137500,387500,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,19.12.16
BIOLOGICAL CHEMISTRY,Michigan,BCMP,1F31AI129697-01A1,Training - Individual,9411175,"BOHN, JENNIFER",Characterization of retroviral restriction factor APOBEC3H,BIOCHEMISTRY,SCHOOLS OF MEDICINE,35444,NA,35444,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,15.08.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,5R01DK111465-02,RPGs - Non SBIR/STTR,9354473,"CHO, UHN-SOO",The molecular mechanisms of nutrient- and stress-dependent mTORC1 regulation mediated by human Sestrin2.,BIOCHEMISTRY,SCHOOLS OF MEDICINE,312760,172018,484778,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,31.08.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,5R00GM097033-05,RPGs - Non SBIR/STTR,9208134,"FREDDOLINO, PETER L",Genome-wide measurement of bacterial transcriptional regulatory states,BIOCHEMISTRY,SCHOOLS OF MEDICINE,160392,88216,248608,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,11.01.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,2T32GM007315-41,Training - Institutional,9220924,"FULLER, ROBERT S",Cellular and Molecular Biology at Michigan,BIOCHEMISTRY,SCHOOLS OF MEDICINE,620816,31745,652561,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,30.06.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,5R01EY018132-10,RPGs - Non SBIR/STTR,9198007,"GOLDMAN, DANIEL J",Muller glia and retina regeneration,BIOCHEMISTRY,SCHOOLS OF MEDICINE,299768,164872,464640,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,12.12.16
BIOLOGICAL CHEMISTRY,Michigan,BCMP,1R01EY027310-01A1,RPGs - Non SBIR/STTR,9379866,"GOLDMAN, DANIEL J",Muller glia heterogeneity and progenitor fate,BIOCHEMISTRY,SCHOOLS OF MEDICINE,2e+05,110333,310333,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,01.08.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,1F32GM122357-01,Training - Individual,9258648,"LANDRY, AARON PAUL",Sulfide Oxidation by Human Sulfide Quinone Oxidoreductase,BIOCHEMISTRY,SCHOOLS OF MEDICINE,56694,NA,56694,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,10.02.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,3F32HL131288-01S1,Training - Individual,9405983,"MANTHEI, KELLY A",Structural and functional studies of lecithin:cholesterol acyltransferase,BIOCHEMISTRY,SCHOOLS OF MEDICINE,553,NA,553,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,01.02.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,5F32HL131288-02,Training - Individual,9269074,"MANTHEI, KELLY A",Structural and functional studies of lecithin:cholesterol acyltransferase,BIOCHEMISTRY,SCHOOLS OF MEDICINE,59166,NA,59166,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,05.07.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,1R01GM123513-01,RPGs - Non SBIR/STTR,9289010,"RAGSDALE, STEPHEN WILEY",Redox Regulation of Heme Oxygenase-2 and the Nuclear Receptor Rev-Erb-beta by their Heme Responsive Motifs,BIOCHEMISTRY,SCHOOLS OF MEDICINE,275849,130140,405989,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,17.03.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,5R01GM095832-06,RPGs - Non SBIR/STTR,9220830,"RUOTOLO, BRANDON T",Next-generation Mass Spectrometry Technologies for Integrated Structural Proteomics,BIOCHEMISTRY,SCHOOLS OF MEDICINE,388428,185037,573465,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,18.01.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,5R01GM115601-03,RPGs - Non SBIR/STTR,9247925,"SKINIOTIS, GEORGIOS",Structural basis of substrate processing in modular polyketide synthases,BIOCHEMISTRY,SCHOOLS OF MEDICINE,52450,20358,72808,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,22.03.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,5R01DK090165-07,RPGs - Non SBIR/STTR,9247192,"SKINIOTIS, GEORGIOS",Architectural Basis of Leptin Transmembrane Signaling,BIOCHEMISTRY,SCHOOLS OF MEDICINE,6937,2006,8943,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,23.03.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,5R01NS092695-03,RPGs - Non SBIR/STTR,9266501,"SKINIOTIS, GEORGIOS",Structural Basis of Signal Instigation Through Metabotropic Glutamate Receptors,BIOCHEMISTRY,SCHOOLS OF MEDICINE,178750,12506,191256,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,16.03.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,2R01DK042303-27A1,RPGs - Non SBIR/STTR,9308088,"SMITH, JANET L",Structural Biology of Complex Enzymes,BIOCHEMISTRY,SCHOOLS OF MEDICINE,275952,139547,415499,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,22.02.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,1R56AI130130-01,RPGs - Non SBIR/STTR,9542638,"SMITH, JANET L",Molecular Functions of NS1 Virulence Protein from Dengue and Zika Viruses,BIOCHEMISTRY,SCHOOLS OF MEDICINE,528092,145809,673901,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,16.08.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,5R01HL071818-13,RPGs - Non SBIR/STTR,9301338,"TESMER, JOHN J G","Structure, function, and inhibition of G protein-coupled receptor kinases",BIOCHEMISTRY,SCHOOLS OF MEDICINE,90487,77258,167745,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,19.06.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,5R01EY024996-02,RPGs - Non SBIR/STTR,9206173,"TURNER, DAVID L",Regulating retinal cell fate with microRNAs,BIOCHEMISTRY,SCHOOLS OF MEDICINE,250000,137500,387500,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,06.01.17
BIOLOGICAL CHEMISTRY,Michigan,BCMP,4R00GM117268-03,RPGs - Non SBIR/STTR,9533036,"ZHANG, YAN",The alternative roles of Neisseria CRISPR-Cas9 in endogenous gene regulation and bacterial physiology,BIOCHEMISTRY,SCHOOLS OF MEDICINE,164951,84049,249000,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,07.09.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,5R01GM118751-02,RPGs - Non SBIR/STTR,9274992,"ALLEN, BENJAMIN",Kinesin-2 Regulation of GLI Function in Hedgehog Signal Transduction,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,208106,109430,317536,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,27.02.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,5R01CA198074-03,RPGs - Non SBIR/STTR,9328035,"ALLEN, BENJAMIN",Dosage-Dependent Hedgehog Signaling in Pancreatic Cancer,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,247301,130870,378171,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,14.08.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,2R25GM086262-09,Other Research-Related,9209243,"BARALD, KATE FRANCESCA",Michigan Postbaccalaureate Research Education Program,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,366864,29349,396213,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,19.12.16
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,1R01GM124251-01,RPGs - Non SBIR/STTR,9365988,"BAROLO, SCOTT",Transcriptional control of Hedgehog/Gli target enhancers,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,280875,75075,355950,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,31.07.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,5R01MH110932-02,RPGs - Non SBIR/STTR,9306962,"CAI, DAWEN",An Accessible Optical Toolbox for Saturated Nanoscale Analysis of Neural Architecture,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,566022,110774,676796,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,06.04.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,7R01AR042047-22,RPGs - Non SBIR/STTR,9303876,"COULOMBE, PIERRE",The Structural Support Role of Keratins in Skin,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,269740,148573,418313,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,25.09.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,7R01AR044232-22,RPGs - Non SBIR/STTR,9553013,"COULOMBE, PIERRE",Non-canonical functions of keratin proteins in skin,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,234834,129158,363992,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,26.09.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,1F31DK113653-01,Training - Individual,9320635,"CUNNINGHAM, COREY NATHANIEL",Clarifying pathogenesis of MIDY - a new form of diabetes mellitus,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,35244,NA,35244,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,10.03.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,5U01HL117658-05,RPGs - Non SBIR/STTR,9282791,"ENGEL, JAMES DOUGLAS",Improving HbF induction by inhibiting epigenetic target enzymes,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,1403874,332211,1736085,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,19.05.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,5R01DK103877-04,RPGs - Non SBIR/STTR,9304201,"FINGAR, DIANE C",Direct regulation of mTORC1 and mTORC2 by the IKK-related kinases TBK1 and IKKϵ,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,135000,74250,209250,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,29.06.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,5R01DK100722-04,RPGs - Non SBIR/STTR,9267977,"FINGAR, DIANE C",Regulation of mTOR complexes (mTORCs) by directly acting kinases,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,217500,119625,337125,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,26.04.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,5F30DK100125-04,Training - Individual,9180062,"FREDDO, ANDREW MICHAEL",A novel Ezrin-dependent cell division drives villus formation,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,2298,NA,2298,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,21.11.16
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,5R01DK089933-07,RPGs - Non SBIR/STTR,9324212,"GUMUCIO, DEBORAH L",Morphogenesis of the fetal intestinal epithelium,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,258347,139391,397738,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,26.07.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,5R01GM112992-02,RPGs - Non SBIR/STTR,9310335,"JOGLEKAR, AJIT",Mechanosensitive signaling of the Spindle Assembly Checkpoint,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,2e+05,105857,305857,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,09.03.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,5R01GM105948-05,RPGs - Non SBIR/STTR,9251297,"JOGLEKAR, AJIT",Architecture-function analysis of the kinetochore motor,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,190000,100644,290644,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,08.03.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,5F32DK108493-02,Training - Individual,9229477,"LEE, MARY PATRICIA",Characterization of TR2 and TR4 homodimer and heterodimer transcriptional mechanisms during erythropoiesis.,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,59166,NA,59166,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,20.01.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,1R21AG055379-01,RPGs - Non SBIR/STTR,9277806,"LIN, JIANDIE D",Endocrine regulation of metabolic health during aging,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,150000,82500,232500,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,23.02.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,5R01DK102456-03,RPGs - Non SBIR/STTR,9280933,"LIN, JIANDIE D",Metabolic crosstalk through brown fat-enriched secreted factors,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,225000,123750,348750,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,21.06.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,1R01DK112800-01,RPGs - Non SBIR/STTR,9283068,"LIN, JIANDIE D",Glucose sensing by skeletal myocytes,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,250000,137500,387500,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,31.03.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,5F30AG050398-02,Training - Individual,9220562,"LU, KEVIN LU",Nucleolar fragmentation in Drosophila germline stem cells during aging,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,19689,NA,19689,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,12.01.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,1F31NS103500-01,Training - Individual,9401637,"MENDEZ, FLOR MARIA",Molecular mechanisms mediated by ACVR1 G328V and H3K27M in diffuse intrinsic pontine glioma biology,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,35460,NA,35460,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,03.07.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,5F31NS096734-02,Training - Individual,9186419,"PINSKEY, JUSTINE MARIE",Investigating Semaphorin Receptor Function in Hedgehog Signal Transduction,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,34988,NA,34988,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,13.01.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,5R01GM113722-03,RPGs - Non SBIR/STTR,9251299,"TSAI, BILLY",A novel cytosolic chaperone complex in polyomavirus ER membrane transport,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,192500,105875,298375,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,01.03.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,2R01AI064296-11A1,RPGs - Non SBIR/STTR,9320149,"TSAI, BILLY",How polyomaviruses penetrate the ER membrane,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,250000,137500,387500,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,03.03.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,1F31NS100391-01,Training - Individual,9258564,"VELING, MACY WENQIAN",Mechanisms that Determine the Basic Morphological Types of Neurons,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,35110,NA,35110,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,08.11.16
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,5R01GM070862-12,RPGs - Non SBIR/STTR,9329459,"VERHEY, KRISTEN J",Regulation of kinesin motors,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,236859,120673,357532,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,29.08.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,5R01GM116204-03,RPGs - Non SBIR/STTR,9333415,"VERHEY, KRISTEN J",Structure and Function of the Ciliary Pore Complex,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,443173,95321,538494,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,17.08.17
CELL AND DEVELOPMENTAL BIOLOGY,Michigan,CB,5R37GM062261-18,RPGs - Non SBIR/STTR,9302449,"WEISMAN, LOIS S",Regulation of Myosin V Interaction  with Cargo,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,269083,143127,412210,12,ANN ARBOR,MICHIGAN,Y,UNIVERSITY OF MICHIGAN MEDICAL SCHOOL,Domestic Higher Education,04.07.17
